title,issuer,issue_date,expiry_date,credential_id,credential_url,logo_url,featured,display_order,course_link,estimated_effort,description,is_visible,is_deleted
Introduction to Agentic AI,IBMSkillsNetwork,,,,,https://sn-portals-techxchange.s3.us-east.cloud-object-storage.appdomain.cloud/wftxoq3lnbcrquklucftnjr90m5s,0,2,https://techxchange.skillsnetwork.site/courses/course-v1:IBMSkillsNetwork+AI0146EN+v1,3 Hours,"This course introduces the fundamentals of AI agents through a rich mix of interactive content. Learn what AI agents are, how they function, and why they are shaping the future of technology. Engage with an AI-driven podcast that responds to your questions, watch informative videos, explore curated readings, and check your understanding with short quizzes. Perfect for anyone looking to build a strong foundation in agentic artificial intelligence.",1,0
Build a Simple ReAct Agent from Scratch,IBMSkillsNetwork,,,,,https://sn-portals-techxchange.s3.us-east.cloud-object-storage.appdomain.cloud/wftxoq3lnbcrquklucftnjr90m5s,0,3,https://techxchange.skillsnetwork.site/courses/course-v1:IBMSkillsNetwork+GPXX01DREN+v1,90 Minutes,"Learn to build intelligent AI agents using the ReAct framework. Develop reasoning systems with tool integration and adaptive behavior for complex problem solving. This guided project covers structured thinking, external tool use, and context management. Ideal for AI/ML engineers, developers, and technical PMs seeking to move beyond static chatbots. Gain hands-on experience in creating agents that reason, plan, and act across tasks—equipping you with practical skills in agent architecture and next-gen AI design.",1,0
Claude Code in Action,Anthropic,"April 4, 2026",,gib5htuumf8y,https://verify.skilljar.com/c/gib5htuumf8y,certificates/anthropic.jpg,1,1,https://anthropic.skilljar.com/claude-code-in-action,1 Hour,"This course covers Claude Code, a command-line AI assistant that uses language models to perform development tasks. You'll learn how Claude Code reads files, executes commands, and modifies code through its tool system, along with techniques for managing context, creating custom workflows, extending Claude Code with hooks, and integrating with external services.",1,0
